Word,EN_1,ES_1,EN_2,ES_2,EN_3,ES_3
cow,Cow! Black and white and big!,¡Vaca! ¡Negra y blanca y grande!,Cows give us milk!,¡Las vacas nos dan leche!,Penny drinks the cow's milk!,¡Penny toma la leche de la vaca!
duck,Duck! Yellow and small!,¡Pato! ¡Amarillo y pequeño!,Ducks are yellow and they swim!,¡Los patos son amarillos y nadan!,Penny swims faster than the duck!,¡Penny nada más rápido que el pato!
hen,Hen! Red and brown!,¡Gallina! ¡Roja y marrón!,The hen is a girl chicken!,¡La gallina es un pollo hembra!,Penny and the hen are both birds!,¡Penny y la gallina son las dos aves!
horse,Horse! Brown and fast!,¡Caballo! ¡Marrón y rápido!,Horses are brown and run fast!,¡Los caballos son marrones y corren rápido!,Penny rides the horse!,¡Penny monta el caballo!
goat,Goat! White and small!,¡Cabra! ¡Blanca y pequeña!,Goats are white and climb rocks!,¡Las cabras son blancas y escalan rocas!,Penny and the goat are friends!,¡Penny y la cabra son amigas!
rooster,Rooster! Red and loud!,¡Gallo! ¡Rojo y ruidoso!,The rooster wakes up early!,¡El gallo se despierta temprano!,The rooster wakes up Penny every morning!,¡El gallo despierta a Penny cada mañana!
ruler,Ruler! Long and straight!,¡Regla! ¡Larga y recta!,Use a ruler to draw a straight line!,¡Usa una regla para trazar una línea recta!,Penny uses a ruler in school!,¡Penny usa una regla en la escuela!
book,Book! Open it and read!,¡Libro! ¡Ábrelo y lee!,Books have words and pictures!,¡Los libros tienen palabras e imágenes!,Penny reads a book every night!,¡Penny lee un libro cada noche!
notebook,Notebook! Write in it!,¡Cuaderno! ¡Escribe en él!,Write your words in the notebook!,¡Escribe tus palabras en el cuaderno!,Penny has a pink notebook!,¡Penny tiene un cuaderno rosado!
pen,Pen! Write with it!,¡Bolígrafo! ¡Escribe con él!,A pen writes in blue or black!,¡Un bolígrafo escribe en azul o negro!,Penny uses a blue pen to write!,¡Penny usa un bolígrafo azul para escribir!
pencil,Pencil! Write and erase!,¡Lápiz! ¡Escribe y borra!,A pencil is yellow!,¡Un lápiz es amarillo!,Penny writes with a yellow pencil!,¡Penny escribe con un lápiz amarillo!
crayon,Crayon! Draw with colors!,¡Crayón! ¡Dibuja con colores!,Crayons come in every color!,¡Los crayones vienen en todos los colores!,Penny draws with a pink crayon!,¡Penny dibuja con un crayón rosado!
eraser,Eraser! No problem — erase it!,¡Borrador! ¡Sin problema — bórralo!,Use the eraser to fix your mistake!,¡Usa el borrador para corregir tu error!,Penny erases with a big eraser!,¡Penny borra con un borrador grande!
desk,Desk! Sit and work!,¡Escritorio! ¡Siéntate y trabaja!,Put your book on the desk!,¡Pon tu libro en el escritorio!,Penny's desk is clean and organized!,¡El escritorio de Penny está limpio y organizado!
chair,Chair! Sit down!,¡Silla! ¡Siéntate!,Sit in your chair and learn!,¡Siéntate en tu silla y aprende!,Penny sits in a blue chair!,¡Penny se sienta en una silla azul!
backpack,Backpack! For your school things!,¡Mochila! ¡Para tus cosas de la escuela!,Put your books in your backpack!,¡Pon tus libros en la mochila!,Penny has a pink backpack!,¡Penny tiene una mochila rosada!
glue,Glue! Stick it!,¡Pegamento! ¡Pégalo!,Glue sticks things together!,¡El pegamento une las cosas!,Penny uses glue to make art!,¡Penny usa pegamento para hacer arte!
triangle,Triangle! Three sides!,¡Triángulo! ¡Tres lados!,A triangle has three sides and three corners!,¡Un triángulo tiene tres lados y tres esquinas!,Penny draws a triangle!,¡Penny dibuja un triángulo!
circle,Circle! Round like the sun!,¡Círculo! ¡Redondo como el sol!,A circle is round — no corners!,¡Un círculo es redondo — ¡sin esquinas!,Penny draws circles all day!,¡Penny dibuja círculos todo el día!
square,Square! Four equal sides!,¡Cuadrado! ¡Cuatro lados iguales!,A square has four sides — all the same!,¡Un cuadrado tiene cuatro lados — ¡todos iguales!,Penny's house is a square!,¡La casa de Penny es un cuadrado!
rectangle,Rectangle! Long and wide!,¡Rectángulo! ¡Largo y ancho!,A rectangle has two long and two short sides!,¡Un rectángulo tiene dos lados largos y dos cortos!,Penny's door is a rectangle!,¡La puerta de Penny es un rectángulo!
star,Star! Five points!,¡Estrella! ¡Cinco puntas!,Stars have five points!,¡Las estrellas tienen cinco puntas!,Penny is a star!,¡Penny es una estrella!
diamond,Diamond! Like a square on its side!,¡Rombo! ¡Como un cuadrado de lado!,A diamond has four sides!,¡Un rombo tiene cuatro lados!,Penny loves diamonds!,¡A Penny le encantan los diamantes!
pentagon,Pentagon! Five sides!,¡Pentágono! ¡Cinco lados!,A pentagon has five sides!,¡Un pentágono tiene cinco lados!,Penny draws a pentagon!,¡Penny dibuja un pentágono!
oval,Oval! Like a big egg!,¡Óvalo! ¡Como un huevo grande!,An oval is round but not a circle!,¡Un óvalo es redondo pero no es un círculo!,Penny's egg is oval!,¡El huevo de Penny es un óvalo!
heart,Heart! I love you!,¡Corazón! ¡Te quiero!,A heart is pink and red!,¡Un corazón es rosado y rojo!,Penny draws a heart for you!,¡Penny dibuja un corazón para ti!
hexagon,Hexagon! Six sides!,¡Hexágono! ¡Seis lados!,A hexagon has six sides!,¡Un hexágono tiene seis lados!,Bees make hexagons in their home!,¡Las abejas hacen hexágonos en su casa!
octagon,Octagon! Eight sides!,¡Octágono! ¡Ocho lados!,A stop sign is an octagon — eight sides!,¡Una señal de alto es un octágono — ¡ocho lados!,Penny counts eight sides — octagon!,¡Penny cuenta ocho lados — ¡octágono!
cross,Cross! Like a plus sign!,¡Cruz! ¡Como un signo de más!,A cross has four arms!,¡Una cruz tiene cuatro brazos!,Penny draws a cross!,¡Penny dibuja una cruz!
rice,Rice! White and delicious!,¡Arroz! ¡Blanco y delicioso!,Rice is white and good for you!,¡El arroz es blanco y bueno para ti!,Penny eats rice every day!,¡Penny come arroz todos los días!
potatoes,Potatoes! Brown outside and white inside!,¡Papas! ¡Marrones por fuera y blancas por dentro!,Potatoes can be hot or cold!,¡Las papas pueden ser calientes o frías!,Penny loves potatoes with butter!,¡A Penny le encantan las papas con mantequilla!
beef,Beef! Brown and delicious!,¡Carne de res! ¡Marrón y deliciosa!,Beef is red meat from a cow!,¡La carne de res es carne roja de una vaca!,Penny loves beef for dinner!,¡A Penny le encanta la carne de res para cenar!
soup,Soup! Hot and good!,¡Sopa! ¡Caliente y rica!,Eat soup when you are sick!,¡Come sopa cuando estás enfermo!,Penny makes fish soup!,¡Penny hace sopa de pescado!
pasta,Pasta! Long and delicious!,¡Pasta! ¡Larga y deliciosa!,Pasta is long and white!,¡La pasta es larga y blanca!,Pasta is Penny's favorite food!,¡La pasta es la comida favorita de Penny!
salad,Salad! Green and healthy!,¡Ensalada! ¡Verde y saludable!,A salad has green and red vegetables!,¡Una ensalada tiene verduras verdes y rojas!,Penny eats a big green salad!,¡Penny come una gran ensalada verde!
sweet potatoes,Sweet potatoes! Orange and sweet!,¡Camotes! ¡Anaranjados y dulces!,Sweet potatoes are orange inside!,¡Los camotes son anaranjados por dentro!,Penny loves sweet potatoes!,¡A Penny le encantan los camotes!
tea,Tea! Hot and warm!,¡Té! ¡Caliente y calientito!,Tea is brown and hot!,¡El té es marrón y caliente!,Penny drinks hot tea every morning!,¡Penny toma té caliente cada mañana!
lemonade,Lemonade! Yellow and sweet!,¡Limonada! ¡Amarilla y dulce!,Lemonade is cold and yellow!,¡La limonada es fría y amarilla!,Penny drinks lemonade in the summer!,¡Penny toma limonada en el verano!
steak,Steak! Brown and delicious!,¡Bistec! ¡Marrón y delicioso!,A steak is a big piece of beef!,¡Un bistec es un gran trozo de carne de res!,Penny eats a big steak for dinner!,¡Penny come un gran bistec para cenar!
lasagna,Lasagna! Hot and with cheese!,¡Lasaña! ¡Caliente y con queso!,Lasagna has pasta and cheese and sauce!,¡La lasaña tiene pasta y queso y salsa!,Penny loves lasagna!,¡A Penny le encanta la lasaña!
lentils,Lentils! Small and healthy!,¡Lentejas! ¡Pequeñas y saludables!,Lentils are small and brown!,¡Las lentejas son pequeñas y marrones!,Penny eats lentil soup!,¡Penny come sopa de lentejas!
turkey,Turkey! Brown and big!,¡Pavo! ¡Marrón y grande!,A turkey is a big brown bird!,¡Un pavo es un ave grande y marrón!,Penny eats turkey on big holidays!,¡Penny come pavo en las grandes fiestas!
cocoa,Cocoa! Hot chocolate!,¡Cacao! ¡Chocolate caliente!,Hot cocoa is brown and sweet!,¡El cacao caliente es marrón y dulce!,Penny drinks cocoa when it is cold!,¡Penny toma cacao cuando hace frío!
wine,Wine! That is for big people!,¡Vino! ¡Eso es para los grandes!,Wine is red or white — only for adults!,¡El vino es rojo o blanco — solo para adultos!,Penny does not drink wine!,¡Penny no toma vino!
beans,Beans! Black or red or white!,¡Frijoles! ¡Negros o rojos o blancos!,Beans are small and good for you!,¡Los frijoles son pequeños y buenos para ti!,Penny loves black beans!,¡A Penny le encantan los frijoles negros!
tuna,Tuna! Gray and from the ocean!,¡Atún! ¡Gris y del océano!,Tuna is a big gray fish!,¡El atún es un pez gris grande!,Tuna is Penny's second favorite fish!,¡El atún es el segundo pez favorito de Penny!
broccoli,Broccoli! Green like a little tree!,¡Brócoli! ¡Verde como un pequeño árbol!,Broccoli is green and good for you!,¡El brócoli es verde y bueno para ti!,Penny eats broccoli every day!,¡Penny come brócoli todos los días!
onions,Onions! White and strong!,¡Cebollas! ¡Blancas y fuertes!,Onions make you cry when you cut them!,¡Las cebollas te hacen llorar cuando las cortas!,Penny cries when she cuts onions!,¡Penny llora cuando corta cebollas!
carrots,Carrots! Orange and crunchy!,¡Zanahorias! ¡Anaranjadas y crujientes!,Carrots are orange and good for your eyes!,¡Las zanahorias son anaranjadas y buenas para los ojos!,Penny eats carrots every day!,¡Penny come zanahorias todos los días!
tomatoes,Tomatoes! Red and juicy!,¡Tomates! ¡Rojos y jugosos!,Tomatoes are red and round!,¡Los tomates son rojos y redondos!,Penny loves red tomatoes!,¡A Penny le encantan los tomates rojos!
corn,Corn! Yellow and sweet!,¡Maíz! ¡Amarillo y dulce!,Corn is yellow and grows tall!,¡El maíz es amarillo y crece alto!,Penny loves yellow corn!,¡A Penny le encanta el maíz amarillo!
cucumbers,Cucumbers! Green and crunchy!,¡Pepinos! ¡Verdes y crujientes!,Cucumbers are long and green!,¡Los pepinos son largos y verdes!,Penny eats cold cucumbers!,¡Penny come pepinos fríos!
lettuce,Lettuce! Green and crunchy!,¡Lechuga! ¡Verde y crujiente!,Lettuce is green and goes in salads!,¡La lechuga es verde y va en las ensaladas!,Penny puts lettuce on everything!,¡Penny le pone lechuga a todo!
peppers,Peppers! Red or green or yellow!,¡Pimientos! ¡Rojos o verdes o amarillos!,Peppers come in red and green and yellow!,¡Los pimientos vienen en rojo y verde y amarillo!,Penny's favorite pepper is red!,¡El pimiento favorito de Penny es rojo!
garlic,Garlic! White and strong!,¡Ajo! ¡Blanco y fuerte!,Garlic is white and very strong!,¡El ajo es blanco y muy fuerte!,Penny puts garlic in all her food!,¡Penny le pone ajo a toda su comida!
spinach,Spinach! Dark green and healthy!,¡Espinaca! ¡Verde oscura y saludable!,Spinach is dark green and good for you!,¡La espinaca es verde oscura y buena para ti!,Penny eats spinach to swim fast!,¡Penny come espinaca para nadar rápido!
cabbage,Cabbage! Round and green!,¡Repollo! ¡Redondo y verde!,Cabbage is round and light green!,¡El repollo es redondo y verde claro!,Penny puts cabbage in her soup!,¡Penny pone repollo en su sopa!
beets,Beets! Purple and sweet!,¡Remolacha! ¡Morada y dulce!,Beets are purple and round!,¡La remolacha es morada y redonda!,Penny loves purple beets!,¡A Penny le encanta la remolacha morada!
peas,Peas! Small and green!,¡Guisantes! ¡Pequeños y verdes!,Peas are small and green and round!,¡Los guisantes son pequeños y verdes y redondos!,Penny eats peas with every meal!,¡Penny come guisantes con cada comida!
green beans,Green beans! Long and green!,¡Ejotes! ¡Largos y verdes!,Green beans are long and thin!,¡Los ejotes son largos y delgados!,Penny eats green beans for dinner!,¡Penny come ejotes para cenar!
